Region,Label,DQ_10kbp,DQ_8kbp,DQ_6kbp,DQ_4kbp,DQ_3kbp,DQ_2kbp,DQ_1kbp,DQ_1500CE,DQ_1750CE,DQ_1850CE
1,Alaska,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2
2,Yukon Territory,1,1,1,1,1,1,1,1,1,1
3,Northwest Territories,0.5,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5
4,Nunavut,0,0,1,1,1,1,1,1,1,1
5,British Columbia,1,1,1,1,2,2,2,2,2,2
6,Alberta,1,1.5,1.5,1.5,2,2,2,2,1.5,1.5
7,Saskatchewan,1,1,1.5,1.5,1.5,2,2,2,2,2
8,Manitoba,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
9,Ontario,1,1,1,1,1,2,2,2,2,2
10,Quebec,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
11,New Brunswick and Nova Scotia,0.5,0.5,0.5,1,1,1,1.5,1.5,1.5,1.5
12,Newfoundland and Labrador,1,1,0.5,1,1,1,2,2,2,2
13,Greenland,0,0,0,1,1,1,2,2,2,1
14,Western USA,1,2,2,2,2,2,2,2,2,2
15,Southwestern USA,1,1,1,2,2,2,2,2,2,2
16,Rocky Mountains USA,1.5,1.5,1.5,1.5,2,2,2,2,2,2
17,Central Plains USA,2,2,2,2,2,2,2,2,2,2
18,Midwest USA,1,1.5,1,1.5,2,2,2,2,2,2
19,Northeastern USA,1,1,1,1,1,1,1,2,2,2
20,Southern USA,1,1,1,1,1,1,1.5,1.5,1.5,1.5
21,Southeastern USA,1,1,2,2,2,2,2,2,2,2
22,Northern Mexico,1,1,1,1,1,1,1,1,1,1
23,Central Mexico,1,1,1,1,2,2,2,2,2,2
24,"Southern Mexico, Belize, Guatemala, and El Salvador",1,1,1,1,2,2,2,2,2,2
25,"Honduras, Nicaragua, Costa Rica, and Panama",1,1,1,1,1,1,2,1,1,1
26,The Caribbean,0,0,1,1,1,1,1,1,2,2
27,Northern Andes Mountains,1,1,1,2,2,2,2,2,1,1
28,Llanos,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5
29,Guiana Highlands,0,0,0,0,0,1,1,1,1,1
30,Amazon Basin,1,1,1,1,1,1,2,2,2,2
31,Brazilian Highlands,1,1,1,1,2,2,2,2,2,2
32,Central Andes Mountains,1,1,1,2,2,2,2,2,2,2
33,Gran Chaco,0.5,0.5,0.5,0.5,1,2,2,2,2,2
34,Southern Andes Mountains,1,1,2,2,2,2,2,2,2,2
35,Pamapas,1,1,2,2,2,2,2,2,2,2
36,Patagonia,1,1,2,1,2,2,2,1,1,1
37,Iceland,1,1,1,1,1,1,2,2,2,2
38,United Kingdom and Ireland,1,1.5,2,2,2,2,2,2,2,2
39,Scandinavia,1,1,2,2,2,2,2,2,2,2
40,"Finland, Estonia, Latvia, and Lithuania",1,1,2,2,2,2,2,2,1,1
41,Spain and Portugal,2,2,2,2,2,2,2,2,2,2
42,France,2,2,2,2,2,2,2,2,2,2
43,Central Europe,2,2,2,2,2,2,2,2,2,2
44,Southern Europe,1,2,2,2,2,2,2,2,2,2
45,Eastern Europe,1,2,2,2,2,2,2,2,2,2
46,Belarus,1,1,1,2,2,2,2,2,2,2
47,Ukraine,1,1,1,1,1,1,1,1,1,1
48,"Romania, Bulgaria, and Moldova",1,2,1,1,1,2,1,1,1,1
49,Northwestern Russia,1,1,1,1,1,1,1,1,1,1
50,Central Russia,2,2,2,2,2,2,2,2,2,2
51,Southern Russia,1,1,1,1,1,1,1,1,1,1
52,Volga,1,1,2,2,2,2,2,2,2,2
53,Urals,1,1,1,1,1,1,1,1,1,1
54,Siberia,1,2,2,2,1,1,1,1,1,2
55,Far Eastern Russia,1,1,1.5,1.5,1.5,1.5,1,1,1,1
56,Turkey,1,1,1,1,2,2,1,1,1,1
57,The Caucasus,1,1,1,2,2,2,2,1,0,0
58,"Syria, Cyprus, and the Levant",2,2,2,2,2,2,2,1,1,1
59,Iraq,1,2,2,2,2,2,2,2,1,2
60,Northwestern Iran,1,1,1,1,1,1,1,1,1,1
61,Western Iran,1,1,1,2,2,1,1,1,1,1
62,Eastern Iran,0,1,1,1,1,1,1,1,1,1
63,Arabia,1,1,1,1,1,1,1,1,1,1
64,"Yemen, Oman, and the UAE",1,1,1,2,2,2,2,2,2,2
65,Morocco,1,1,1,1,1,1.5,1,1.5,1.5,1.5
66,Northern Algeria,1,1,1,1,1,2,1,1,1,1
67,Tunisia,0.5,0.5,0.5,0.5,1,1.5,1.5,1,1,1
68,Southern Algeria,1,1,1,1,1,1,1,0.5,0.5,0.5
69,Northwestern Libya,2,2,2,2,2,2,2,0,0,0
