Region,Label,FHG_10kbp,FHG_8kbp,FHG_6kbp,FHG_4kbp,FHG_3kbp,FHG_2kbp,FHG_1kbp,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAG_10kbp,EXAG_8kbp,EXAG_6kbp,EXAG_4kbp,EXAG_3kbp,EXAG_2kbp,EXAG_1kbp,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10kbp,INAG_8kbp,INAG_6kbp,INAG_4kbp,INAG_3kbp,INAG_2kbp,INAG_1kbp,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10kbp,PAS_8kbp,PAS_6kbp,PAS_4kbp,PAS_3kbp,PAS_2kbp,PAS_1kbp,PAS_1500CE,PAS_1750CE,PAS_1850CE
1,Alaska,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,Minimal,Minimal
2,Yukon Territory,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,Common
3,Northwest Territories,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,Nunavut,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Minimal,None,None,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,None,None,Minimal
5,British Columbia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,Minimal,Common,None,None,None,None,None,None,None,None,Minimal,Common
6,Alberta,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,Widespread,Widespread
7,Saskatchewan,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Common,Common,Common,Widespread,None,None,None,None,None,None,None,Common,Common,Widespread,None,None,None,None,None,None,None,None,Common,Widespread
8,Manitoba,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Common,Common,Common,Widespread,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,None,None,None,None,None,Common,Common
9,Ontario,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Minimal,Common,Widespread,Widespread,None,None,None,None,None,None,None,None,Widespread,Widespread
10,Quebec,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Common,Widespread,Widespread,Common,None,None,None,None,None,None,None,Minimal,Common,Widespread,None,None,None,None,None,None,None,None,Common,Widespread
11,New Brunswick and Nova Scotia,Common,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Minimal,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,Common,Widespread,None,None,None,None,None,None,None,None,Minimal,Widespread
12,Newfoundland and Labrador,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Minimal,Minimal,Widespread,Widespread,None,None,None,None,None,None,None,None,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Widespread,Widespread
