RegionID,AG_W_InAg,HYDE_W_Ag,DIFF,AG_CW_InAg,HYDE_CW_Ag,AG_W_InExAg
1,Never,Never,0,Never,Never,0
2,Never,Never,0,Never,Never,0
3,Never,Never,0,Never,Never,0
4,Never,Never,0,Never,Never,0
5,Never,Never,0,Never,2000CE,0
6,Never,2000CE,0,Never,2000CE,0
7,Never,2000CE,0,1850CE,2000CE,0
8,Never,Never,0,1850CE,2000CE,0
9,1850CE,Never,1,1750CE,2000CE,10
10,Never,Never,0,1850CE,2000CE,0
11,Never,Never,0,1850CE,1850CE,0
12,1850CE,Never,1,1750CE,Never,10
13,Never,Never,0,Never,Never,0
14,1850CE,Never,1,1850CE,2000CE,10
15,1750CE,Never,2,1000BP,2000CE,9
16,Never,Never,0,Never,2000CE,0
17,Never,2000CE,0,1000BP,2000CE,0
18,1500CE,2000CE,3,1000BP,2000CE,8
19,1850CE,1850CE,0,1500CE,1750CE,8
20,Never,2000CE,0,1500CE,2000CE,0
21,1750CE,2000CE,2,1500CE,1750CE,8
22,1850CE,Never,1,1000BP,1000BP,10
23,1000BP,Never,4,3000BP,4000BP,6
24,1000BP,Never,4,3000BP,4000BP,6
25,1850CE,Never,1,1000BP,1000BP,6
26,1750CE,2000CE,2,1750CE,1500CE,9
27,Never,Never,0,3000BP,4000BP,7
28,Never,Never,0,Never,1750CE,0
29,Never,Never,0,1850CE,Never,0
30,Never,Never,0,1000BP,2000CE,0
31,Never,Never,0,1750CE,2000CE,6
32,2000BP,Never,5,4000BP,4000BP,6
33,Never,Never,0,1750CE,2000CE,0
34,1850CE,Never,1,2000BP,2000CE,7
35,Never,2000CE,0,1750CE,1850CE,0
36,Never,Never,0,1750CE,2000CE,0
37,Never,Never,0,1000BP,2000CE,0
38,1000BP,1850CE,3,4000BP,3000BP,5
39,1750CE,Never,2,2000BP,1000BP,9
40,Never,Never,0,1000BP,1000BP,0
41,2000BP,1850CE,4,4000BP,4000BP,4
42,3000BP,1500CE,3,4000BP,4000BP,5
43,4000BP,1500CE,4,6000BP,3000BP,3
44,3000BP,1850CE,5,4000BP,4000BP,5
45,Never,1850CE,-1,1750CE,4000BP,3
46,1750CE,1850CE,1,2000BP,4000BP,9
47,2000BP,2000CE,5,6000BP,1500CE,6
48,6000BP,1850CE,7,6000BP,4000BP,3
49,Never,Never,0,Never,2000CE,0
50,Never,2000CE,0,3000BP,1000BP,0
51,1000BP,2000CE,4,4000BP,1500CE,5
52,Never,2000CE,0,3000BP,1500CE,0
53,Never,Never,0,Never,1850CE,0
54,1850CE,Never,1,1750CE,1850CE,10
55,Never,Never,0,1500CE,Never,0
56,3000BP,2000CE,6,6000BP,6000BP,4
57,3000BP,Never,6,4000BP,4000BP,5
58,4000BP,2000CE,7,8000BP,6000BP,4
59,4000BP,Never,7,6000BP,6000BP,4
60,1500CE,2000CE,3,6000BP,6000BP,8
61,1500CE,Never,3,6000BP,6000BP,8
62,2000BP,Never,5,2000BP,6000BP,6
