Region,Label,EXPERTISE_10kbp,EXPERTISE_8kbp,EXPERTISE_6kbp,EXPERTISE_4kbp,EXPERTISE_3kbp,EXPERTISE_2kbp,EXPERTISE_1kbp,EXPERTISE_1500CE,EXPERTISE_1750CE,EXPERTISE_1850CE
1,Alaska,1.5,2,1.5,1.5,1.5,1.5,1.5,1,1,1
2,Yukon Territory,1.5,1.5,1,1,1,1,1.5,1.5,1.5,1.5
3,Northwest Territories,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
4,Nunavut,0.5,0.5,1,1.5,1.5,1.5,1.5,1,1,1
5,British Columbia,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
6,Alberta,1.5,1.5,1.5,2,2,2,2,1.5,1.5,1.5
7,Saskatchewan,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
8,Manitoba,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
9,Ontario,1.5,1.5,1.5,2,2,2,2,2,1.5,1.5
10,Quebec,0.5,0.5,1,1,1,1,1.5,1.5,1.5,1.5
11,New Brunswick and Nova Scotia,0.5,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5
12,Newfoundland and Labrador,0.5,1,1,1,1.5,2,2,2,2,2
13,Greenland,0,0,0.5,0.5,0.5,1,1.5,2,1.5,1.5
14,Western USA,1.5,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5
15,Southwestern USA,1,1,1,1,1,1.5,2,2,1.5,1.5
16,Rocky Mountains USA,1.5,1.5,2,2,2,2,2,1.5,1.5,1.5
17,Central Plains USA,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2
18,Midwest USA,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
19,Northeastern USA,1,1,1,1,1,1,1.5,1.5,1.5,1.5
20,Southern USA,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
21,Southeastern USA,1.5,1.5,1.5,1.5,2,2,2,2,1.5,1.5
22,Northern Mexico,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5
