Region,Label,FHG_10kbp,FHG_8kbp,FHG_6kbp,FHG_4kbp,FHG_3kbp,FHG_2kbp,FHG_1kbp,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAG_10kbp,EXAG_8kbp,EXAG_6kbp,EXAG_4kbp,EXAG_3kbp,EXAG_2kbp,EXAG_1kbp,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10kbp,INAG_8kbp,INAG_6kbp,INAG_4kbp,INAG_3kbp,INAG_2kbp,INAG_1kbp,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10kbp,PAS_8kbp,PAS_6kbp,PAS_4kbp,PAS_3kbp,PAS_2kbp,PAS_1kbp,PAS_1500CE,PAS_1750CE,PAS_1850CE
1,Alaska,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,Yukon Territory,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,Northwest Territories,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,Nunavut,None,None,None,Common,Common,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,British Columbia,Common,Common,Common,Common,Common,Common,Common,Common,Common,Minimal,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,Alberta,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Common,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,Minimal
7,Saskatchewan,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Common
8,Manitoba,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Common,None,None,None,None,None,None,None,None,Common,Common
9,Ontario,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Common,None,None,None,None,None,None,None,None,None,None
10,Quebec,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,Minimal,Common,None,None,None,None,None,None,None,None,Minimal,Common
11,New Brunswick and Nova Scotia,Minimal,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,None,Common,None,None,None,None,None,None,None,None,Minimal,Common
12,Newfoundland and Labrador,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Common,Widespread,None,None,None,None,None,None,None,Minimal,Common,Widespread
13,Greenland,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,None,None,None
14,Western USA,Minimal,Minimal,None,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,Southwestern USA,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Common,Minimal,None,None,None,None,None,None,None,None,None,None,None
16,Rocky Mountains USA,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,Minimal,Widespread
17,Central Plains USA,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal
18,Midwest USA,Minimal,Minimal,Minimal,Minimal,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,None,Minimal,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None
19,Northeastern USA,Minimal,Minimal,Minimal,Common,Common,Common,Common,Common,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Common,Common,None,None,None,None,None,None,None,None,None,None
20,Southern USA,Minimal,Minimal,Minimal,Common,Common,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,Minimal,Common,Common,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,None
21,Southeastern USA,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Common,None,None,None,None,None,None,None,None,None,None
22,Northern Mexico,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Common,Common,Minimal,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Common,Widespread
23,Central Mexico,Minimal,Minimal,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,None,None,None,None,None,Common,Common
24,"Southern Mexico, Belize, Guatemala, and El Salvador",None,Minimal,None,Minimal,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,Common,None,None,None,None,None,Minimal,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None
25,"Honduras, Nicaragua, Costa Rica, and Panama",None,Minimal,Minimal,Minimal,Minimal,None,None,Common,None,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Common,None,None,None,None,None,None,Minimal,None,None,Common,None,None,None,None,None,None,None,None,None,Minimal
26,The Caribbean,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,None,Common,Common,None,None,None,None,None,None,None,None,None,None
27,Northern Andes Mountains,None,Minimal,Minimal,Common,Minimal,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Common,Common,Common,Common,Common
28,Llanos,Minimal,None,Minimal,Minimal,Common,None,None,None,Minimal,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None
29,Guiana Highlands,Minimal,Minimal,Common,Common,Common,Widespread,Common,Common,Common,Common,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,Minimal
30,Amazon Basin,Minimal,Minimal,Minimal,None,None,None,None,Common,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,Common,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
31,Brazilian Highlands,Common,Common,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Widespread,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
32,Central Andes Mountains,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Common,Common,Minimal,Minimal,Common,None,None,None,Minimal,Minimal,Common,Common,Common,Minimal,Minimal,None,None,None,Minimal,Common,Common,Common,Common,Minimal,Common
33,Gran Chaco,None,None,None,None,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Minimal
34,Southern Andes Mountains,Minimal,Minimal,None,Minimal,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common
35,Pamapas,Minimal,Minimal,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common
36,Patagonia,Minimal,Minimal,Minimal,Minimal,Common,Common,Widespread,Widespread,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
37,Iceland,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Common,Common,Common,Common
38,United Kingdom and Ireland,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Common,None,None,None,Minimal,Common,Common,Common,Common,Minimal,Minimal
39,Scandinavia,None,Minimal,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Minimal,Common,Common,Widespread,Widespread
40,"Finland, Estonia, Latvia, and Lithuania",None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,None,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common
41,Spain and Portugal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Common,Common,None,None,None,None,None,None,None,Common,Common,Common,None,None
42,France,Common,Common,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Common,Widespread,Common,Widespread,Widespread,Widespread,None,None,Common,Common,Common,Widespread,Common,Common,Widespread,Widespread
43,Central Europe,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,None,None,Common,Common,Common,Common,Common,Common,Common,Common
44,Southern Europe,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Common,Common,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal
45,Eastern Europe,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Widespread,Widespread,Common,Minimal,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Common,Common,None,None,Common,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal
46,Belarus,Widespread,Widespread,Widespread,Common,Common,Common,Common,Minimal,Minimal,Minimal,None,Minimal,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Common,Widespread,Widespread,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
47,Ukraine,Minimal,Common,Common,Minimal,Minimal,None,None,Minimal,None,None,None,None,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
48,"Romania, Bulgaria, and Moldova",Widespread,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Widespread,Common,Common,Common,Common,Widespread,Widespread,Widespread,None,None,Minimal,Common,Common,Common,Minimal,Minimal,Common,Common
