Region,Label,SITES
1,Alaska,500-999
2,Yukon Territory,50-259
3,Northwest Territories,50-259
4,Nunavut,50-259
5,British Columbia,500-999
6,Alberta,250-499
7,Saskatchewan,50-259
8,Manitoba,50-259
9,Ontario,500-999
10,Quebec,250-499
11,New Brunswick and Nova Scotia,50-259
12,Newfoundland and Labrador,50-259
13,Greenland,50-259
14,Western USA,> 1000
15,Southwestern USA,> 1000
16,Rocky Mountains USA,> 1000
17,Central Plains USA,> 1000
18,Midwest USA,> 1000
19,Northeastern USA,> 1000
20,Southern USA,500-999
21,Southeastern USA,> 1000
22,Northern Mexico,50-259
23,Central Mexico,> 1000
24,"Southern Mexico, Belize, Guatemala, and El Salvador",> 1000
25,"Honduras, Nicaragua, Costa Rica, and Panama",50-259
26,The Caribbean,50-259
27,Northern Andes Mountains,500-999
28,Llanos,< 50
29,Guiana Highlands,< 50
30,Amazon Basin,250-499
31,Brazilian Highlands,250-499
32,Central Andes Mountains,> 1000
33,Gran Chaco,50-259
34,Southern Andes Mountains,500-999
35,Pamapas,250-499
36,Patagonia,500-999
37,Iceland,250-499
38,United Kingdom and Ireland,> 1000
39,Scandinavia,> 1000
40,"Finland, Estonia, Latvia, and Lithuania",500-999
41,Spain and Portugal,500-999
42,France,> 1000
43,Central Europe,> 1000
44,Southern Europe,> 1000
45,Eastern Europe,> 1000
46,Belarus,250-499
47,Ukraine,50-259
48,"Romania, Bulgaria, and Moldova",250-499
49,Northwestern Russia,250-499
50,Central Russia,> 1000
51,Southern Russia,50-259
52,Volga,500-999
53,Urals,500-999
54,Siberia,500-999
55,Far Eastern Russia,500-999
56,Turkey,250-499
57,The Caucasus,50-259
58,"Syria, Cyprus, and the Levant",500-999
59,Iraq,250-499
60,Northwestern Iran,< 50
61,Western Iran,50-259
62,Eastern Iran,50-259
63,Arabia,50-259
64,"Yemen, Oman, and the UAE",50-259
65,Morocco,50-259
66,Northern Algeria,50-259
67,Tunisia,50-259
68,Southern Algeria,< 50
69,Northwestern Libya,< 50
70,Southern Libya,50-259
71,Northeastern Libya,< 50
72,Egypt,> 1000
73,Sudan,250-499
74,Mauritania,< 50
75,"Senegal, The Gambia, and Guinea-Bissau",< 50
76,Mali,50-259
77,"Guinea, Sierra Leone, Liberia, and Côte d'Ivoire",< 50
78,Burkina Faso,< 50
79,"Ghana, Togo, and Benin",50-259
80,Niger,50-259
81,Nigeria,50-259
82,Chad and Central African Republic,< 50
83,"Cameroon, Equatorial Guinea, Gabon, and Republic of the Congo",50-259
84,Democratic Republic of the Congo,50-259
85,Angola,< 50
86,Namibia,50-259
87,Botswana,250-499
88,South Africa,250-499
89,South Sudan,< 50
90,Eritrea and Djibouti,< 50
91,Ethiopia,50-259
92,"Uganda, Rwanda, and Burundi",50-259
93,Kenya,250-499
94,Somalia,< 50
95,Tanzania,50-259
96,"Zambia, Zimbabwe, Malawi, and Mozambique",50-259
97,Madagascar,50-259
98,Northwestern Kazakhstan,250-499
99,Western Central Asia,250-499
100,Northern Kazakhstan,500-999
101,Eastern Kazakhstan,50-259
102,Turan Lowland,250-499
103,Southeastern Central Asia,< 50
104,Afghanistan,< 50
105,Pakistan,50-259
106,Himalayas,< 50
107,Northern India,250-499
108,Southwestern India,250-499
109,Northwestern India,50-259
110,Southern India,500-999
111,Eastern India and Bangladesh,50-259
112,Northeastern India and Bhutan,< 50
113,Sri Lanka,50-259
114,Northwestern China,50-259
115,Mongolia,250-499
116,Northeastern China,250-499
117,Korea,> 1000
118,Tibet,250-499
119,North Central China,250-499
120,Northern China,> 1000
121,South Central China,250-499
122,Southeastern China and Taiwan,500-999
123,Eastern China,250-499
124,Japan,> 1000
125,Myanmar,< 50
126,Thailand,50-259
127,Laos,< 50
128,Vietnam and Cambodia,50-259
129,Peninsular Malaysia,< 50
130,Sumatra,50-259
131,Java and Timor,50-259
132,Borneo,< 50
133,Philippines,250-499
134,Indonesia,< 50
135,Papua New Guinea,50-259
136,Western Australia,50-259
137,Northern Territory Australia,< 50
138,South Australia,50-259
139,Queensland,50-259
140,New South Wales,500-999
141,Victoria and Tasmania,500-999
142,Melanesia,50-259
143,New Zealand,500-999
144,Micronesia,250-499
145,Polynesia,250-499
146,Hawaii,> 1000
